MlsNumber,LivingArea,MunicipalTax,SchoolTax,LotAssessment,BuildingAssessment,Area
13328439,,4021.00,842.00,,,"1,900 SF"
19818168,,5067.00,1043.00,,,"1,901.98 SF"
16622361,,3449.00,749.00,,,"1,904 SF"
28160311,"1,800 SF",2975.00,635.00,,,"1,905 SF"
23455062,"1,862.16 SF",3128.00,631.00,,,"1,905.21 SF"
27703783,"1,311 SF",,,,,"1,905.21 SF"
14625052,"1,238 SF",,,,,"1,905.21 SF irr."
16347317,987 SF,,,,,"1,905.21 SF irr."
20974693,900 SF,,,,,"1,905.21 SF irr."
21977226,933 SF,,,,,"1,905.21 SF irr."
16131219,"3,055.87 SF",9691.00,746.00,,,"1,909.52 SF"
23467448,"3,060 Square Feet",3120.00,588.00,,,"1,920.00 Square Feet"
22226709,,3437.00,737.00,87600.00,311700.00,"1,925.00 Square Feet"
16913147,,4697.00,722.00,,,"1,926 SF"
15256930,,1.00,1.00,,,"1,926.74 SF"
18219067,"1,515.28 SF",5250.00,730.00,,,"1,927.3 SF"
12350043,960 SF,3850.00,815.00,,,"1,930 SF"
21780596,,2145.00,422.00,,,"1,943 SF"
16875442,,3293.00,663.00,,,"1,948.27 SF"
18620615,,2998.00,636.00,,,"1,949.67 SF"
16181160,,2887.00,597.00,,,"1,950 SF"
14247542,"2,533 SF",6953.00,1504.00,,,"1,950 SF"
28719937,,4705.00,1010.00,,,"1,950 SF irr."
15931789,"1,810 Square Feet",3679.00,774.00,,,"1,950.00 Square Feet"
16006733,,2094.00,443.00,,,"1,950.42 SF"
11234951,,2693.00,570.00,,,"1,950.42 SF"
21885656,,2042.00,401.00,,,"1,951 SF"
9774055,"3,773.25 SF",4288.00,533.00,,,"1,955 SF"
13543898,,1803.00,354.00,,,"1,960 SF"
19004805,"1,770 SF",2083.00,434.00,,,"1,960 SF"
17839952,,3799.00,1004.00,,,"1,960 SF"
23262323,,2308.00,423.00,,,"1,961 SF"
16482390,953.7 SF,2877.00,617.00,,,"1,961.18 SF"
15361715,"1,048 SF",2455.00,511.00,,,"1,962 SF"
22947780,,2471.00,1080.00,,,"1,965.49 SF"
25182351,935 SF,1938.00,397.00,,,"1,967 SF"
18584041,"1,100 SF",2357.00,488.00,,,"1,967 SF"
19739091,835 SF,2777.00,568.00,,,"1,975 SF"
17611021,,3170.00,1.00,,,"1,975 SF"
10487277,"1,287 SF",3265.00,656.00,,,"1,975 SF"
18545047,,3824.00,810.00,,,"1,975 SF"
24099783,,2772.00,579.00,,,"1,975.18 SF"
28579834,,2667.00,559.00,,,"1,976.25 SF"
20695378,957.99 SF,1822.00,365.00,,,"1,976.25 SF irr."
13010439,"1,175 SF",4561.00,955.00,,,"1,978 SF"
26344891,,3614.00,691.00,,,"1,980.5 SF"
18395671,,3231.00,593.00,,,"1,986.26 SF"
16807795,,4994.00,1072.00,,,"1,987.02 SF"
18285410,,3495.00,722.00,,,"1,992 SF"
28945640,,3156.00,676.00,,,"1,997.78 SF"
19379993,,3648.00,774.00,,,"1,999 SF"
22931555,,2612.00,518.00,,,"1,999.93 SF"
28483295,,2725.00,542.00,,,"1,999.93 SF"
20644485,,2734.00,573.00,,,"1,999.93 SF"
26760717,,3097.00,622.00,,,"1,999.93 SF"
19215632,,3197.00,617.00,,,"1,999.93 SF"
16647218,,3568.00,734.00,,,"1,999.93 SF"
25362849,,3859.00,794.00,,,"1,999.93 SF"
16867145,,14564.00,766.00,,,"1,999.93 SF"
14701214,177.53 Square Feet,3408.00,721.00,115400.00,269200.00,1.00 Square Feet
11925179,935 Square Feet,1945.00,495.00,32800.00,163600.00,1.00 Square Feet
27549079,,1.00,1.00,,,1.00 Square Feet
25294561,2000.0 Square Feet,3818.00,777.00,91400.00,387300.00,1.00 Square Metres
27664205,1,2461.00,520.00,33800.00,275000.00,1.00 Square metres
25545664,"1,400 SF",5526.00,918.00,,,"10,000 SF irr."
27128703,"8,900 Square Feet",46380.00,2488.00,566700.00,733400.00,"10,000.00 Square Feet"
10824217,,6266.00,1199.00,,,"10,010 SF irr."
13860706,,5705.00,1114.00,,,"10,032 SF"
11844762,"1,344 SF",4776.00,887.00,,,"10,150 SF"
14709020,,5892.00,1180.00,,,"10,266.62 SF"
24167724,,4229.00,898.00,,,"10,275 SF irr."
13172569,,2755.00,573.00,,,"10,341 SF"
21446569,,3324.00,680.00,,,"10,500 SF"
18614800,,2855.00,586.00,,,"10,540 SF"
24543891,,5510.00,999.00,,,"10,565.85 SF irr."
27860519,,10539.00,2241.00,,,"10,637 SF irr."
28373569,,11678.00,,,,"10,650 SF irr."
22273898,,5107.00,1059.00,,,"10,725.16 SF irr."
19922230,"3,000 SF",23286.00,1.00,,,"10,736 SF"
19946293,"2,628 Square Feet",5646.00,1111.00,218700.00,410400.00,"10,775.00 Square Feet"
13217866,,5735.00,1121.00,,,"10,794.05 SF irr."
18867965,,5464.00,1090.00,,,"10,800 SF"
12318230,,2804.00,577.00,,,10000 PC
18535776,,8133.00,1686.00,,,10045 PC
24972872,1007 PC,1825.00,345.00,,,1008 PC
15235682,,2476.00,504.00,193200.00,93700.00,1010.30 Square Metres
28304256,,2641.00,520.00,,,1012.00 Square Feet
16933094,,5700.00,1220.00,,,10124 PC
10033557,,4493.00,802.00,263800.00,190100.00,10124 piå_
9476277,1019.0 Square Feet,1248.00,561.00,18000.00,288900.00,1019.00 Square Feet
22429783,1760.0 Square Feet,3615.00,708.00,172600.00,208100.00,10358.00 Square Feet
13236337,,2885.00,611.00,88700.00,287600.00,104.00 Square metres
27901869,670 PC,1646.00,351.00,,,104262 MC
25687670,3570.0 Square Feet,6118.00,1312.00,164700.00,581900.00,10428.00 Square Feet
23143586,,13332.00,2170.00,268900.00,992700.00,1052.40 Square Metres
10173725,,5548.00,1091.00,337800.00,272400.00,10538.00 Square Feet
25333001,,11882.00,2312.00,,,10591 PC
10882148,,15717.00,3575.00,,,1065.3 MC
13591565,"4,600 SF",16332.00,3447.00,,,"107,957 SF"
15462020,,3052.00,499.00,152600.00,188100.00,10724 piå_
24718592,,2121.00,438.00,50100.00,206100.00,1074.00 Square Feet
25857307,,11966.00,2316.00,,,10775 PC
9243714,1524 piå_,1.00,767.00,206600.00,250200.00,10898 piå_
14740569,2770 PC,5761.00,1321.00,,,10927 PC
11733405,,2089.00,470.00,183900.00,86100.00,1094.50 Square Metres
17008985,,5129.00,1025.00,,,"11,034 SF irr."
9196140,,11295.00,2240.00,,,"11,053.46 SF irr."
27071986,,8072.00,728.00,,,"11,070 SF"
10470728,,4958.00,950.00,,,"11,130 SF"
19243593,,13690.00,2895.00,,,"11,198 SF irr."
23124721,,3274.00,698.00,,,"11,230 SF"
14442491,,7748.00,1668.00,,,"11,301.03 SF"
24421489,,4472.00,871.00,,,"11,393 SF irr."
14745605,,,,,,"11,394 SF irr."
27014805,"4,982 Square Feet",16097.00,2550.00,468100.00,858300.00,"11,398.00 Square Feet"
19248537,,10340.00,1648.00,270800.00,655800.00,"11,414.00 Square Feet"
20019982,"3,200 SF",5278.00,1181.00,,,"11,433 SF irr."
25232022,,4827.00,945.00,,,"11,612 SF irr."
22711038,,6452.00,638.00,,,"11,700.37 SF"
12026218,"3,500 SF",8900.00,1549.00,,,"11,736 SF"
12538384,,2633.00,541.00,,,"11,850 SF"
22133507,914.93 SF,1804.00,263.00,,,"11,969.47 SF irr."
20738368,,6992.00,1300.00,220700.00,561000.00,11000.00 Square Feet
14442014,1102.0 Square Feet,1735.00,172.00,32900.00,163300.00,11004.00 Square Feet
12192763,,4799.00,938.00,198500.00,314500.00,1102.50 Square Metres
11997710,,20488.00,1049.00,114800.00,463800.00,1114.80 Square Metres
12350986,,4613.00,480.00,218400.00,320900.00,1119.90 Square Metres
19031274,,5969.00,1419.00,,,"112,000 SF irr."
9947038,,6177.00,1496.00,,,"112,000 SF irr."
16305522,973.05 PC,1613.00,335.00,,,1128 PC
23314410,,138156.00,7131.00,2621100.00,1808700.00,11366 piå_
16014728,2400 PC,6986.00,1379.00,,,1139 MC
23861234,"1,250 SF",6698.00,1622.00,,,"114,958 SF"
26608044,,6698.00,1622.00,,,"114,958 SF irr."
21679730,,2844.00,564.00,79300.00,274700.00,1153 piå_
12144802,2020 piå_,2970.00,561.00,58100.00,298800.00,116.1 må_
18650169,,3509.00,700.00,296600.00,112100.00,1163.10 Square Metres
16464224,44.3 MC,1228.00,255.00,,,1166.9 MC
10832405,,17861.00,3389.00,289800.00,1682200.00,1167.60 Square Metres
23906134,,13510.00,3220.00,,,11677 PC
17700481,,4376.00,890.00,,,1170 PC
11819200,604 PC,1590.00,341.00,,,1173 PC
23338828,,4141.00,850.00,145500.00,394500.00,1173 piå_
22342553,1226 PC,2240.00,461.00,,,1176.49 PC
24870935,,27466.00,1381.00,140000.00,683500.00,1178 piå_
15635390,1960 PC,3374.00,715.00,,,1180 PC
22863811,3800 PC,10931.00,2163.00,,,11808 PC
24388067,,7345.00,674.00,225700.00,168200.00,"12,000.00 Square Feet"
13295243,,9815.00,1919.00,,,"12,051 SF"
13721412,"1,284 Square Feet",,,,,"12,060.00 Square Feet"
19849562,"1,141 Square Feet",,,,,"12,060.00 Square Feet"
21386401,"1,028 Square Feet",,,,,"12,060.00 Square Feet"
26337107,894 Square Feet,,,,,"12,060.00 Square Feet"
28234484,721 Square Feet,,,,,"12,060.00 Square Feet"
15374958,,2441.00,668.00,,,"12,085 SF irr."
26717124,,7716.00,1747.00,,,"12,127.7 SF"
25113537,"2,904 SF",6032.00,1.00,,,"12,177 SF"
26587605,,7054.00,1623.00,,,"12,371 SF irr."
10192303,,957.00,127.00,,,"12,515.6 SM irr."
10416392,"1,536 SF",3559.00,707.00,,,"12,536 SF irr."
15457001,,1967.00,798.00,,,"12,540 SF irr."
12768319,,3544.00,729.00,,,"12,540 SF irr."
15329329,962 SF,1787.00,340.00,,,"12,625 SF"
21033951,"3,860 SF",9380.00,2111.00,,,"12,768 SF"
24291560,,,,,,"12,816 SF"
22223552,"2,406 Square Feet",4203.00,819.00,223300.00,260100.00,"12,821.00 Square Feet"
19630105,30 x 47 ft,4100.00,752.00,105900.00,374200.00,12.19x23.47
15093941,,3118.00,521.00,79900.00,398400.00,120.20 Square Metres
26708729,,1460.00,271.00,,,120.4 MC
22530166,1050 PC,1878.00,353.00,,,1200 PC
9993876,2140 PC,,,,,1200 PC
18205237,,5760.00,939.00,,,12080 PC
10073743,,17610.00,888.00,,,12265 PC
25891111,,2902.00,614.00,,,12297.6 PC
26756159,831 PC,1583.00,430.00,,,123.3 MC
14887510,168.2 Square Metres,2805.00,574.00,75600.00,251400.00,1233.70 Square Metres
10346577,,11291.00,574.00,,,12330 PC
13422482,,2726.00,564.00,68300.00,250700.00,124.24 må_
26529257,1507.0 Square Feet,2955.00,615.00,74900.00,314000.00,124.81 Square Metres
14538351,,8571.00,644.00,,,124.9 MC
27163459,,12835.00,744.00,92900.00,350200.00,1250.00 Square Feet
12376490,,3397.00,638.00,192800.00,187600.00,1254.20 Square Metres
12762042,,73879.00,3779.00,,,12546 PC
24928993,,4681.00,924.00,342300.00,172600.00,12564 piå_
21569257,,9407.00,1748.00,394500.00,594200.00,1271.60 Square Metres
28098337,,5252.00,838.00,,,1284.8 MC
17864484,1180 piå_,2702.00,656.00,75900.00,257700.00,1289 piå_
24685877,88.72 MC,2158.00,495.00,,,129.85 MC
11447061,,3955.00,770.00,,,"13,000 SF irr."
28995517,,7856.00,1660.00,,,"13,080 SF irr."
21754446,,8033.00,1701.00,,,"13,150 SF"
19676453,,3000.00,607.00,,,"13,236.38 SF irr."
27585843,,21145.00,4755.00,,,"13,355 SF irr."
27944713,,3148.00,599.00,,,"13,361 SF"
26316539,,3405.00,724.00,,,"13,500 SF"
18660406,"2,908 SF",6856.00,1333.00,,,"13,551 SF"
13691173,,5766.00,1136.00,,,"13,554 SF irr."
16990027,"7,259 SF",15080.00,2954.00,,,"13,561 SF irr."
16169256,,9141.00,1787.00,,,"13,597 SF irr."
12779568,,3141.00,755.00,,,"13,685 SF irr."
9217681,"3,290.4 SF",5834.00,1244.00,,,"13,712.54 SF"
9140272,"2,310 SF",3334.00,749.00,,,"13,760 SF"
9853245,941.84 SF,1950.00,382.00,,,"13,800 SF"
14889836,"3,400 SF",8988.00,2550.00,,,"13,949 SF irr."
20891434,2090 PC,5166.00,1229.00,,,1310 PC
20979463,2090 PC,5166.00,1229.00,,,1310 PC
27613044,,3910.00,946.00,183300.00,354900.00,13155 piå_
9981015,"1,835 Square Feet",,,,,133.80 Square metres
25989748,1686 PC,4367.00,830.00,,,1340 PC
11554396,,77478.00,4088.00,,,134372 PC
18371032,,3574.00,771.00,,,135.2 MC
10450357,,4485.00,826.00,,,13613 PC
28257266,,3168.00,483.00,,,13715 PC
9263849,,3296.00,716.00,60100.00,355800.00,138.2 må_
16973489,,4507.00,1312.00,180300.00,552600.00,13866.00 Square Feet
12573694,,2163.00,415.00,,,139.29 MC
22195156,,,,,,1390 MC
13344313,,3611.00,901.00,264800.00,263900.00,1393.50 Square Metres
12149734,4345 piå_,6414.00,1331.00,407900.00,372700.00,13939 piå_
20911923,1254 PC,3408.00,744.00,,,1395 PC
17874994,,5820.00,1329.00,,,"14,070.58 SF"
25305768,,7772.00,1579.00,,,"14,135 SF irr."
21501828,,7686.00,1514.00,,,"14,154.54 SF"
15385535,"3,600 SF",10091.00,2063.00,,,"14,375 SF"
15771723,,10789.00,2142.00,,,"14,400 SF"
13260768,"1,200 Square Feet",1570.00,327.00,70300.00,102200.00,"14,400.00 Square Feet"
22323616,,2750.00,589.00,,,"14,438 SF"
19935937,"1,614 SF",3196.00,662.00,,,"14,561 SF"
16233517,,2436.00,242.00,,,"14,874.65 SF"
11724669,,7780.00,1885.00,,,"14,914 SF"
18979714,,2592.00,711.00,,,"14,997.36 SF irr."
14392126,,2877.00,323.00,40000.00,313600.00,14.74 Square Metres
27015351,14.34 x 10.52 M,5192.00,1124.00,213700.00,436000.00,14.76x30.48 Metres
28515171,1600 PC,4531.00,973.00,,,1400 PC
14956902,,1.00,1.00,1.00,1.00,1400.00 Square Feet
9988856,2703 PC,4822.00,979.00,,,14000 PC
16004661,,,132.00,,,1408 PC
25876610,,,,,,141.40 Square metres
14561241,,42332.00,2067.00,,,1421.1 MC
25666799,1133.43 PC,2200.00,540.00,,,1430.52 PC
24052490,,6977.00,1384.00,374700.00,363400.00,14317 piå_
12041739,2221 PC,5232.00,1116.00,,,144.2 MC
12183550,3000 PC,4420.00,914.00,,,1443 PC
28609885,331 MC,8760.00,1635.00,,,1453.7 MC
11575946,979.0 Square Feet,0.00,0.00,729700.00,3699100.00,1459.30 Square Metres
11370769,,5843.00,1300.00,,,14602 PC
27341465,,3008.00,637.00,,,1464 PC
