Category,Composite_Benchmark,LivingArea,Townhouse_Benchmark,Apartment_Benchmark,One_Storey_HPI,Single_Family_HPI,SaleDD,Address,SaleYYYY,AskingPrice,PriceSold,SaleYYYYMMDD,NumberBedrooms,NumberBathrooms,SaleMM,Two_Storey_HPI,One_Storey_Benchmark,LotSize,Apartment_HPI,DaysOnMarket,Single_Family_Benchmark,Two_Storey_Benchmark,Composite_HPI,Townhouse_HPI,Borough,Lat,Lng
2 Storey,284900,1980,286700,242700,148.9,147.8,11,12207A Rue Green-Lane Montreal,2011,579000,575000,20111111,5,3,11,146.6,246300,4622,148.6,840,295900,359700,148.2,160.5,Ahuntsic / Cartierville,45.509734,-73.749907
2 Storey,262900,2788,270400,219000,140.3,137.7,2,15 Rue Alliance Montreal,2010,,,20100202,5,2,2,134.6,232100,18830,134.1,150,275600,330300,136.8,151.4,Ahuntsic / Cartierville,45.511434,-73.753789
2 Storey,284100,1076,278800,238500,149.8,148.4,8,12122 Blvd St-Germain Montreal,2011,378900,365000,20110408,3,2,4,146.8,247800,4250,146,44,297100,360200,147.8,156.1,Ahuntsic / Cartierville,45.533363,-73.710313
2 Storey,268500,1800,279400,223900,143.1,140.4,13,"10200, avenue Georges Baril Montreal",2010,495000,480000,20100413,4,1,4,137.3,236700,5000,137.1,19,281000,336900,139.7,156.4,Ahuntsic / Cartierville,45.557903,-73.657669
2 Storey,270200,1280,279000,225200,144.1,141.5,3,"8867, rue Berri Montreal",2010,315000,305000,20100503,2,1,5,138.5,238400,2000,137.9,29,283200,339900,140.6,156.2,Ahuntsic / Cartierville,45.546897,-73.641554
2 Storey,273700,1700,270600,228300,146.1,143.4,12,"10552, avenue Sacr•À_-coeur, Montreal, Ahuntsic Montreal",2010,495000,485000,20101012,4,3,10,140.2,241700,5000,139.8,90,287000,344000,142.4,151.5,Ahuntsic / Cartierville,45.55,-73.67
2 Storey,270200,2020,279000,225200,144.1,141.5,3,"10285, rue Jeanne-Mance Montreal",2010,,,20100503,3,2,5,138.5,238400,4005,137.9,21,283200,339900,140.6,156.2,Ahuntsic / Cartierville,45.543458,-73.667503
2 Storey,272600,2250,273300,227900,145.1,142.6,5,"10135, rue Chambord Montreal",2010,679000,645000,20100805,4,1,8,139.6,240000,5000,139.5,23,285400,342600,141.8,153,Ahuntsic / Cartierville,45.559142,-73.655625
2 Storey,273100,1344,271100,227500,145.6,143.1,5,10 333 rue De St-Firmin Montreal,2010,469000,475000,20100905,3,2,9,140.1,240900,3276,139.3,2,286400,343800,142.1,151.8,Ahuntsic / Cartierville,45.570595,-73.651637
2 Storey,280200,1650,282200,235900,147.8,146.3,7,11715 Letellier Montreal,2011,225000,180000,20110207,,4,2,144.5,244500,3172,144.4,120,292900,354600,145.8,158,Ahuntsic / Cartierville,45.541369,-73.686183
2 Storey,282900,2200,281500,237500,149,147.8,28,12331 Notre Dame des Anges Montreal,2011,549000,529000,20110328,4,1,3,146.3,246500,4500,145.4,17,295900,359000,147.2,157.6,Ahuntsic / Cartierville,45.534657,-73.716555
2 Storey,282900,1350,281500,237500,149,147.8,29,10175 Chambord Montreal,2011,420000,408000,20110329,2,3,3,146.3,246500,3750,145.4,19,295900,359000,147.2,157.6,Ahuntsic / Cartierville,45.559309,-73.656238
2 Storey,284500,2240,278100,239300,149.8,148.6,17,12360 DeSerres Montreal,2011,675000,675000,20110517,5,4,5,147.1,247800,5550,146.5,53,297500,361000,148,155.7,Ahuntsic / Cartierville,45.533573,-73.719705
2 Storey,284500,1248,278100,239300,149.8,148.6,26,"10660, Rue D'iberville Montreal",2011,419000,407000,20110526,3,2,5,147.1,247800,5341,146.5,38,297500,361000,148,155.7,Ahuntsic / Cartierville,45.577493,-73.652606
2 Storey,284700,2045,285600,241700,149.2,148,27,10854 av d'Auteuil Montreal,2011,779000,701000,20110827,5,2,8,146.6,246800,4736,148,90,296300,359700,148.1,159.9,Ahuntsic / Cartierville,45.553063,-73.6697
2 Storey,284900,1682,286700,242700,148.9,147.8,26,"1450, boulevard Gouin Ouest Montreal",2011,684500,670000,20111126,3,1,11,146.6,246300,6181,148.6,25,295900,359700,148.2,160.5,Ahuntsic / Cartierville,45.545093,-73.699878
2 Storey,285200,2716,284700,243000,149.3,148,13,10840 St-Fran•À_ois D'Assise Montreal,2011,,,20110913,4,4,9,146.6,247000,12160,148.8,42,296300,359700,148.4,159.4,Ahuntsic / Cartierville,45.576634,-73.658122
2 Storey,281000,1150,284700,239800,146.9,145.8,2,10072 Berri Montreal,2011,324000,313000,20111202,3,1,12,144.4,243000,4178,146.8,90,291900,354300,146.2,159.4,Ahuntsic / Cartierville,45.551524,-73.659052
2 Storey,286000,950,287800,243500,149.7,148.5,21,"10 464, de Lille Montreal",2011,,,20111021,2,1,10,147,247600,2349,149.1,38,297300,360700,148.8,161.1,Ahuntsic / Cartierville,45.573023,-73.645661
2 Storey,281000,1346,284700,239800,146.9,145.8,6,"12095, boulevard O'Brien Montreal",2011,365000,355000,20111206,3,2,12,144.4,243000,7500,146.8,31,291900,354300,146.2,159.4,Ahuntsic / Cartierville,45.533655,-73.708971
2 Storey,284700,1150,290800,242100,148.7,147.8,28,"10190, rue Verville Montreal",2012,495000,488000,20120228,3,1,2,146.7,246000,3750,148.2,24,295900,360000,148.1,162.8,Ahuntsic / Cartierville,45.542608,-73.667031
2 Storey,290600,1483,292200,245700,152.6,151.4,27,"725, boulevard Gouin Est Montreal",2012,,,20120427,3,2,4,150,252400,6608,150.4,90,303100,368100,151.2,163.6,Ahuntsic / Cartierville,45.558326,-73.668781
2 Storey,288900,1440,288500,244500,151.5,150.5,9,"10200, avenue P•À_loquin Montreal",2012,629000,593000,20120309,3,2,3,149.3,250600,5200,149.7,21,301300,366400,150.3,161.5,Ahuntsic / Cartierville,45.556581,-73.65869
2 Storey,288900,1300,288500,244500,151.5,150.5,22,"165, rue Sauriol Ouest Montreal",2012,565000,540000,20120322,3,1,3,149.3,250600,4680,149.7,33,301300,366400,150.3,161.5,Ahuntsic / Cartierville,45.545146,-73.663341
2 Storey,290600,1600,292200,245700,152.6,151.4,11,"10562, rue Grande-All•À_e Montreal",2012,,,20120411,3,1,4,150,252400,2500,150.4,61,303100,368100,151.2,163.6,Ahuntsic / Cartierville,45.550485,-73.668199
2 Storey,298100,1625,304700,250600,156.2,155.7,23,"17, avenue du Ruisseau Montreal",2013,395000,370000,20130823,3,1,8,155.1,258400,5242,153.4,15,311700,380600,155.1,170.6,Ahuntsic / Cartierville,45.51116,-73.754693
2 Storey,290800,1150,287900,245500,153,151.6,16,"1620, boulevard Gouin Ouest Montreal",2012,439000,439000,20120516,2,1,5,149.8,253100,4827,150.3,15,303500,367600,151.3,161.2,Ahuntsic / Cartierville,45.544233,-73.701571
2 Storey,210700,1840,202200,175400,112.2,110.2,2,"10125, avenue de L'Esplanade Montreal",2006,,,20060402,3,1,4,107.7,185600,3330,107.4,2,220600,264300,109.6,113.2,Ahuntsic / Cartierville,45.545035,-73.663977
2 Storey,291200,1344,302400,248900,151.9,150.8,14,"12245, boulevard O'Brien Montreal",2012,379000,365000,20121014,3,1,10,149.4,251300,5000,152.4,33,301900,366600,151.5,169.3,Ahuntsic / Cartierville,45.53566,-73.711804
2 Storey,296200,2400,306200,249600,155.8,154.4,14,"11884, rue Pasteur Montreal",2013,549500,540000,20130414,6,2,4,152.9,257700,7345,152.8,5,309100,375200,154.1,171.4,Ahuntsic / Cartierville,45.53853,-73.694481
2 Storey,291200,1248,302400,248900,151.9,150.8,23,"11770, rue Lavigne Montreal",2012,429000,429000,20121023,5,2,10,149.4,251300,4350,152.4,21,301900,366600,151.5,169.3,Ahuntsic / Cartierville,45.529446,-73.701088
2 Storey,290200,2575,298500,247500,151.7,150.5,7,"10548, rue Laverdure Montreal",2012,729000,723000,20121107,5,2,11,149,251000,7080,151.5,23,301300,365600,151,167.1,Ahuntsic / Cartierville,45.551386,-73.667805
2 Storey,290200,1805,298500,247500,151.7,150.5,30,"10340, boulevard Olympia Montreal",2012,639000,645000,20121130,4,2,11,149,251000,4700,151.5,16,301300,365600,151,167.1,Ahuntsic / Cartierville,45.562086,-73.657733
2 Storey,290400,1510,308500,246600,151.1,150.8,30,"10465, rue Meunier Montreal",2013,669000,662000,20130130,3,2,1,150.5,250000,4800,151,20,301900,369300,151.1,172.7,Ahuntsic / Cartierville,45.545777,-73.669444
2 Storey,296200,1547,306200,249600,155.8,154.4,14,"6, avenue de l'Alliance Montreal",2013,325000,315000,20130414,3,2,4,152.9,257700,5708,152.8,36,309100,375200,154.1,171.4,Ahuntsic / Cartierville,45.501689,-73.567256
2 Storey,300000,1830,311500,251700,157.2,156.8,21,"10788, rue Saint-Hubert Montreal",2014,589000,567000,20140221,4,2,2,156.4,260100,5600,154.1,150,313900,383800,156.1,174.4,Ahuntsic / Cartierville,45.558994,-73.669316
2 Storey,298100,1484,304700,250600,156.2,155.7,14,"12026, boulevard Saint-Germain Montreal",2013,519000,500000,20130814,4,2,8,155.1,258400,4675,153.4,1,311700,380600,155.1,170.6,Ahuntsic / Cartierville,45.532173,-73.708417
2 Storey,296000,1360,305400,247000,155.4,155.1,30,"8787, rue Ernest Savignac Montreal",2014,464000,450000,20140130,4,2,1,154.7,257100,2610,151.2,90,310500,379600,154,171,Ahuntsic / Cartierville,45.557327,-73.632441
2 Storey,298300,1913,311500,249700,156.8,156,20,"10015, rue Berri Montreal",2014,414000,400000,20140920,4,2,9,155,259400,4017,152.9,180,312300,380300,155.2,174.4,Ahuntsic / Cartierville,45.551254,-73.657376
2 Storey,,1970,,,,,26,"12109-11, rue Valmont Montreal",2014,569500,,20141126,4,1,11,,,5071,,78,,,,,Ahuntsic / Cartierville,45.542774,-73.698437
2 Storey,298700,1300,307400,252200,155.6,155.5,21,"195, rue Sauriol Ouest Montreal",2014,545000,534000,20141021,3,2,10,155.5,257400,3775,154.4,11,311300,381600,155.4,172.1,Ahuntsic / Cartierville,45.544948,-73.663625
2 Storey,284100,2135,278800,238500,149.8,148.4,6,"10830, boulevard Olympia Montreal",2011,779000,715000,20110406,4,1,4,146.8,247800,5135,146,90,297100,360200,147.8,156.1,Ahuntsic / Cartierville,45.563633,-73.664193
2 Storey,271400,1200,281200,226500,144.6,142,21,"9291, avenue Justine Lacoste Montreal",2010,381000,,20100621,3,1,6,138.9,239200,4547,138.7,18,284200,340800,141.2,157.4,Anjou,45.607404,-73.580259
2 Storey,280200,1080,282200,235900,147.8,146.3,16,6936 Lionel-Daunais Montreal,2011,349000,332000,20110216,3,1,2,144.5,244500,4600,144.4,16,292900,354600,145.8,158,Anjou,45.616153,-73.545623
2 Storey,,1288,,,,,10,"7751, avenue Mousseau Montreal",2014,379000,366000,20141110,3,2,11,,,3000,,510,,,,,Anjou,45.61514,-73.554416
2 Storey,296200,1344,306200,249600,155.8,154.4,30,"6180, avenue des Jalesnes Montreal",2013,,,20130430,4,1,4,152.9,257700,3001,152.8,33,309100,375200,154.1,171.4,Anjou,45.591637,-73.551927
2 Storey,296200,1200,306200,249600,155.8,154.4,1,"7776, place Seuilly Montreal",2013,,,20130401,3,1,4,152.9,257700,1600,152.8,22,309100,375200,154.1,171.4,Anjou,45.608259,-73.561039
2 Storey,298300,2085,309600,249600,156.6,156.2,15,"8201, avenue Vaujours Montreal",2013,,,20131015,4,2,10,155.6,259100,4994,152.8,90,312700,381800,155.2,173.3,Anjou,45.607015,-73.555924
2 Storey,301200,2200,317600,252000,159,157.6,12,"7020, avenue Guy Montreal",2014,369000,365000,20140412,4,3,4,155.9,263000,7500,154.3,16,315500,382600,156.7,177.8,Anjou,45.612732,-73.547821
2 Storey,272200,2200,274900,227400,145.2,142.4,2,"41, rue Claude Montreal",2010,529000,515000,20100702,4,2,7,139.2,240200,9907,139.2,52,285000,341600,141.6,153.9,Beaconsfield / Baie-D'Urf•À_,45.476745,-73.872855
2 Storey,258900,1800,264400,214800,138.2,135.7,1,"40, avenue Eastbourne Montreal",2010,439000,439000,20100101,4,2,1,132.9,228600,7500,131.5,1,271600,326100,134.7,148,Beaconsfield / Baie-D'Urf•À_,45.427181,-73.858881
2 Storey,266400,2244,271700,222100,142.1,139.4,31,"59, rue Beaurepaire Montreal",2010,389000,385000,20100331,4,3,3,136.3,235100,13281,136,13,279000,334500,138.6,152.1,Beaconsfield / Baie-D'Urf•À_,45.435383,-73.841148
2 Storey,290800,2400,287900,245500,153,151.6,4,474 Jubilee Crescent Montreal,2012,,,20120504,4,2,5,149.8,253100,7852,150.3,240,303500,367600,151.3,161.2,Beaconsfield / Baie-D'Urf•À_,45.435525,-73.881594
2 Storey,281000,2300,284700,239800,146.9,145.8,29,"125, croissant Chartwell Montreal",2011,539500,532000,20111229,5,3,12,144.4,243000,8960,146.8,21,291900,354300,146.2,159.4,Beaconsfield / Baie-D'Urf•À_,45.444493,-73.841026
2 Storey,298300,2250,311500,249700,156.8,156,13,"160, rue Woodside Montreal",2014,,,20140913,4,1,9,155,259400,7300,152.9,150,312300,380300,155.2,174.4,Beaconsfield / Baie-D'Urf•À_,45.500364,-73.786329
2 Storey,299800,2700,309600,251500,157.5,156.6,9,"101, rue Franklin Montreal",2014,614000,585000,20140709,5,3,7,155.6,260600,8928,154,13,313500,381800,156,173.3,Beaconsfield / Baie-D'Urf•À_,45.540833,-73.762392
2 Storey,270200,1900,279000,225200,144.1,141.5,3,"5891, rue Notre Dame de Grace Montreal",2010,729000,729000,20100503,4,1,5,138.5,238400,2115,137.9,13,283200,339900,140.6,156.2,C•À_te-des-Neiges / Notre-Dame-de-Gr•À_ce,45.470131,-73.62202
2 Storey,274700,935,275300,229800,145.9,143.6,16,"4911, avenue Kensington Montreal",2010,459000,437000,20101116,2,2,11,141,241400,5000,140.7,150,287400,346000,142.9,154.1,C•À_te-des-Neiges / Notre-Dame-de-Gr•À_ce,45.472096,-73.636957
2 Storey,274700,2500,275300,229800,145.9,143.6,8,3586 Addington Montreal,2010,799000,750000,20101108,5,1,11,141,241400,4500,140.7,120,287400,346000,142.9,154.1,C•À_te-des-Neiges / Notre-Dame-de-Gr•À_ce,45.474271,-73.614304
2 Storey,274700,1656,275300,229800,145.9,143.6,3,3840 ave Oxford Montreal,2010,727000,698000,20101103,3,2,11,141,241400,2375,140.7,46,287400,346000,142.9,154.1,C•À_te-des-Neiges / Notre-Dame-de-Gr•À_ce,45.472834,-73.618308
2 Storey,280200,920,282200,235900,147.8,146.3,12,5187 Av Belmore Montreal,2011,439000,415000,20110212,3,2,2,144.5,244500,4500,144.4,73,292900,354600,145.8,158,C•À_te-des-Neiges / Notre-Dame-de-Gr•À_ce,45.463431,-73.648713
2 Storey,282900,1125,281500,237500,149,147.8,20,5115 Kensington Montreal,2011,467000,481000,20110320,4,2,3,146.3,246500,5000,145.4,29,295900,359000,147.2,157.6,C•À_te-des-Neiges / Notre-Dame-de-Gr•À_ce,45.473427,-73.640048
2 Storey,284500,1060,281300,240300,150.1,148.3,22,4825 Bessborough Ave Montreal,2011,405000,400000,20110722,3,1,7,146.1,248300,4770,147.1,90,296900,358500,148,157.5,C•À_te-des-Neiges / Notre-Dame-de-Gr•À_ce,45.468611,-73.638038
2 Storey,286000,1620,287800,243500,149.7,148.5,31,"5290, rue Patricia Montreal",2011,485000,480000,20111031,4,2,10,147,247600,4488,149.1,25,297300,360700,148.8,161.1,C•À_te-des-Neiges / Notre-Dame-de-Gr•À_ce,45.46003,-73.653632
2 Storey,284900,2278,286700,242700,148.9,147.8,26,"4768, rue M•À_ridian Montreal",2011,,,20111126,6,3,11,146.6,246300,6110,148.6,11,295900,359700,148.2,160.5,C•À_te-des-Neiges / Notre-Dame-de-Gr•À_ce,45.501689,-73.567256
2 Storey,290800,1012,287900,245500,153,151.6,9,"4880, Grand Boulevard Montreal",2012,449000,435500,20120509,3,1,5,149.8,253100,5500,150.3,37,303500,367600,151.3,161.2,C•À_te-des-Neiges / Notre-Dame-de-Gr•À_ce,45.472274,-73.636109
2 Storey,290800,1723,287900,245500,153,151.6,8,"4669, avenue Victoria Montreal",2012,798900,790000,20120508,5,2,5,149.8,253100,3276,150.3,1,303500,367600,151.3,161.2,C•À_te-des-Neiges / Notre-Dame-de-Gr•À_ce,45.485326,-73.61742
2 Storey,301200,1720,305100,252500,159.3,157.6,10,"6449, avenue Coolbrook Montreal",2013,295000,280000,20130510,3,2,5,155.5,263500,2500,154.6,270,315500,381600,156.7,170.8,C•À_te-des-Neiges / Notre-Dame-de-Gr•À_ce,45.489927,-73.6461
2 Storey,291200,1230,302400,248900,151.9,150.8,29,"4338, avenue Royal Montreal",2012,,,20121029,3,2,10,149.4,251300,3000,152.4,28,301900,366600,151.5,169.3,C•À_te-des-Neiges / Notre-Dame-de-Gr•À_ce,45.472171,-73.627174
2 Storey,296000,2700,305400,247000,155.4,155.1,11,"4635, avenue Draper Montreal",2014,,,20140111,8,3,1,154.7,257100,5288,151.2,240,310500,379600,154,171,C•À_te-des-Neiges / Notre-Dame-de-Gr•À_ce,45.475203,-73.630895
2 Storey,296200,1518,306200,249600,155.8,154.4,22,"4408, avenue Mayfair Montreal",2013,,,20130422,4,2,4,152.9,257700,3220,152.8,10,309100,375200,154.1,171.4,C•À_te-des-Neiges / Notre-Dame-de-Gr•À_ce,45.460862,-73.638418
2 Storey,298300,1834,309600,249600,156.6,156.2,30,"3442, avenue de Melrose Montreal",2013,898000,880000,20131030,,2,10,155.6,259100,2375,152.8,26,312700,381800,155.2,173.3,C•À_te-des-Neiges / Notre-Dame-de-Gr•À_ce,45.470111,-73.618098
2 Storey,301200,2624,317600,252000,159,157.6,28,"5765, chemin de la C•À_te-Saint-Antoine Montreal",2014,985000,1000000,20140428,6,2,4,155.9,263000,2500,154.3,4,315500,382600,156.7,177.8,C•À_te-des-Neiges / Notre-Dame-de-Gr•À_ce,45.470908,-73.618347
2 Storey,247000,1249,245400,202700,132.4,129.9,14,"4835, Bessborough Montreal",2008,,,20080914,3,1,9,127,219000,,124.1,85,260000,311600,128.5,137.4,C•À_te-des-Neiges / Notre-Dame-de-Gr•À_ce,45.468652,-73.638143
2 Storey,252600,3078,249000,209400,135.5,132.5,11,250 rue Dufferin Montreal,2009,,,20090911,5,4,9,129.1,224200,7500,128.2,31,265200,316800,131.4,139.4,C•À_te-Saint-Luc / Hampstead / Montreal West,45.483236,-73.640484
2 Storey,270200,2174,279000,225200,144.1,141.5,15,"145, avenue Westminster North Montreal",2010,569000,569000,20100515,4,3,5,138.5,238400,4500,137.9,180,283200,339900,140.6,156.2,C•À_te-Saint-Luc / Hampstead / Montreal West,45.4546,-73.649285
2 Storey,291200,1500,302400,248900,151.9,150.8,29,"24, rue Westover Montreal",2012,595000,590000,20121029,4,3,10,149.4,251300,2740,152.4,38,301900,366600,151.5,169.3,C•À_te-Saint-Luc / Hampstead / Montreal West,45.458528,-73.659254
2 Storey,300000,1680,311500,251700,157.2,156.8,19,"22, avenue Ballantyne Sud Montreal",2014,599900,585000,20140219,3,1,2,156.4,260100,4400,154.1,120,313900,383800,156.1,174.4,C•À_te-Saint-Luc / Hampstead / Montreal West,45.45225,-73.642134
2 Storey,258900,3908,264400,214800,138.2,135.7,26,"6, rue Malard Montreal",2010,,,20100126,5,3,1,132.9,228600,8310,131.5,90,271600,326100,134.7,148,Dollard-Des-Ormeaux,45.488426,-73.837526
2 Storey,258900,1920,264400,214800,138.2,135.7,16,"9, rue Mayfair Montreal",2010,379000,375000,20100116,3,2,1,132.9,228600,5432,131.5,8,271600,326100,134.7,148,Dollard-Des-Ormeaux,45.469399,-73.843647
2 Storey,284500,1638,278100,239300,149.8,148.6,16,"21, croissant Columbia Montreal",2011,429500,420000,20110516,5,1,5,147.1,247800,8100,146.5,390,297500,361000,148,155.7,Dollard-Des-Ormeaux,45.49281,-73.802978
2 Storey,277200,2644,285600,232600,146,144.7,24,45 Place Canterbury Montreal,2011,589000,580000,20110124,5,2,1,143.1,241500,9672,142.4,7,289600,351100,144.2,159.9,Dollard-Des-Ormeaux,45.49277,-73.812183
2 Storey,286000,1890,287800,243500,149.7,148.5,13,3053 Lake Montreal,2011,479000,455000,20111013,3,3,10,147,247600,6600,149.1,150,297300,360700,148.8,161.1,Dollard-Des-Ormeaux,45.482521,-73.828085
2 Storey,284500,1148,278100,239300,149.8,148.6,29,277 Magnolia Montreal,2011,332500,330000,20110529,4,1,5,147.1,247800,6000,146.5,8,297500,361000,148,155.7,Dollard-Des-Ormeaux,45.47975,-73.845788
2 Storey,290600,2300,292200,245700,152.6,151.4,20,"4581, rue Lake Montreal",2012,416900,410000,20120420,5,4,4,150,252400,6003,150.4,16,303100,368100,151.2,163.6,Dollard-Des-Ormeaux,45.480194,-73.831522
2 Storey,294700,2245,306900,247900,154.7,153.8,3,"67, rue Fredmir Montreal",2013,459000,435000,20130303,5,3,3,152.8,255900,6600,151.8,31,307900,374900,153.3,171.8,Dollard-Des-Ormeaux,45.493736,-73.830967
2 Storey,298300,2520,309600,249600,156.6,156.2,3,"1245, rue Tecumseh Montreal",2013,634000,605000,20131003,4,2,10,155.6,259100,6000,152.8,360,312700,381800,155.2,173.3,Dollard-Des-Ormeaux,45.486978,-73.829667
2 Storey,301200,,305100,252500,159.3,157.6,14,"64, rue Fredmir Montreal",2013,,,20130514,5,3,5,155.5,263500,5645,154.6,57,315500,381600,156.7,170.8,Dollard-Des-Ormeaux,45.493638,-73.831412
2 Storey,301200,1264,317600,252000,159,157.6,8,"36, rue Dawn Montreal",2014,359000,350000,20140408,3,2,4,155.9,263000,8735,154.3,34,315500,382600,156.7,177.8,Dollard-Des-Ormeaux,45.486992,-73.787106
2 Storey,299800,2354,309600,251500,157.5,156.6,17,"83, rue Roger Pilon Montreal",2014,,,20140717,4,2,7,155.6,260600,6175,154,240,313500,381800,156,173.3,Dollard-Des-Ormeaux,45.492765,-73.81798
2 Storey,301600,2000,312900,250600,159.7,158.3,1,"24, rue Buttonwood Montreal",2014,448000,415000,20140501,4,1,5,156.6,264200,6600,153.4,90,316900,384300,156.9,175.2,Dollard-Des-Ormeaux,45.496124,-73.829568
2 Storey,247200,1378,252600,203800,132.7,129.8,15,119 Louis Riel Street Montreal,2009,389000,375000,20090115,5,2,1,126.4,219500,7750,124.8,240,259800,310200,128.6,141.4,Dollard-Des-Ormeaux,45.482273,-73.814225
2 Storey,284500,2182,281300,240300,150.1,148.3,21,210 Rue Touzin Montreal,2011,,,20110721,4,2,7,146.1,248300,,147.1,120,296900,358500,148,157.5,Dorval / Dorval Island,45.441753,-73.769073
2 Storey,291400,675,296200,248400,152.3,151.1,18,"640, Avenue Dawson Montreal",2012,419900,394000,20120918,4,1,9,149.7,251900,4263,152.1,300,302500,367300,151.6,165.8,Dorval / Dorval Island,45.4411,-73.735747
2 Storey,296200,1734,306200,249600,155.8,154.4,23,"226, cercle Malcolm Montreal",2013,,,20130423,4,2,4,152.9,257700,6000,152.8,6,309100,375200,154.1,171.4,Dorval / Dorval Island,45.442477,-73.765009
