,MlsNumber,LivingArea,MunicipalTax,SchoolTax,LotAssessment,BuildingAssessment,Area
344,25232022,,4827.0,945.00,,,11612.0
345,22711038,,6452.0,638.00,,,11700.37
346,12026218,3500.0,8900.0,1549.00,,,11736.0
347,12538384,,2633.0,541.00,,,11850.0
348,22133507,914.93,1804.0,263.00,,,11969.47
349,20738368,,6992.0,1300.00,220700.0,561000.0,11000.0
350,14442014,1102.0,1735.0,172.00,32900.0,163300.0,11004.0
351,12192763,,4799.0,938.00,198500.0,314500.0,11867.19975
352,11997710,,20488.0,1049.00,114800.0,463800.0,11999.59572
353,12350986,,4613.0,480.00,218400.0,320900.0,12054.491610000001
354,19031274,,5969.0,1419.00,,,112000.0
355,9947038,,6177.0,1496.00,,,112000.0
356,16305522,973.05,1613.0,335.00,,,1128.0
357,23314410,,138156.0,7131.00,2621100.0,1808700.0,11366.0
358,16014728,2400.0,6986.0,1379.00,,,12260.0821
359,23861234,1250.0,6698.0,1622.00,,,114958.0
360,26608044,,6698.0,1622.00,,,114958.0
361,21679730,,2844.0,564.00,79300.0,274700.0,1153.0
362,12144802,2020.0,2970.0,561.00,58100.0,298800.0,1249.68879
363,18650169,,3509.0,700.00,296600.0,112100.0,12519.492089999998
364,16464224,476.84076999999996,1228.0,255.00,,,12560.39491
365,10832405,,17861.0,3389.00,289800.0,1682200.0,12567.929639999998
366,23906134,,13510.0,3220.00,,,11677.0
367,17700481,,4376.0,890.00,,,1170.0
368,11819200,604.0,1590.0,341.00,,,1173.0
369,23338828,,4141.0,850.00,145500.0,394500.0,1173.0
370,22342553,1226.0,2240.0,461.00,,,1176.49
371,24870935,,27466.0,1381.00,140000.0,683500.0,1178.0
372,15635390,1960.0,3374.0,715.00,,,1180.0
373,22863811,3800.0,10931.0,2163.00,,,11808.0
374,24388067,,7345.0,674.00,225700.0,168200.0,12000.0
375,13295243,,9815.0,1919.00,,,12051.0
376,13721412,1284.0,,,,,12060.0
377,19849562,1141.0,,,,,12060.0
378,21386401,1028.0,,,,,12060.0
379,26337107,894.0,,,,,12060.0
380,28234484,721.0,,,,,12060.0
381,15374958,,2441.0,668.00,,,12085.0
382,26717124,,7716.0,1747.00,,,12127.7
383,25113537,2904.0,6032.0,1.00,,,12177.0
384,26587605,,7054.0,1623.00,,,12371.0
385,10192303,,957.0,127.00,,,134716.66684
386,10416392,1536.0,3559.0,707.00,,,12536.0
387,15457001,,1967.0,798.00,,,12540.0
388,12768319,,3544.0,729.00,,,12540.0
389,15329329,962.0,1787.0,340.00,,,12625.0
390,21033951,3860.0,9380.0,2111.00,,,12768.0
391,24291560,,,,,,12816.0
392,22223552,2406.0,4203.0,819.00,223300.0,260100.0,12821.0
393,19630105,1410.0,4100.0,752.00,105900.0,374200.0,286.0993
394,15093941,,3118.0,521.00,79900.0,398400.0,1293.82078
395,26708729,,1460.0,271.00,,,1295.97356
396,22530166,1050.0,1878.0,353.00,,,1200.0
397,9993876,2140.0,,,,,1200.0
398,18205237,,5760.0,939.00,,,12080.0
399,10073743,,17610.0,888.00,,,12265.0
400,25891111,,2902.0,614.00,,,12297.6
401,26756159,831.0,1583.0,430.00,,,1327.18887
402,14887510,1810.4879799999999,2805.0,574.00,75600.0,251400.0,13279.42343
403,10346577,,11291.0,574.00,,,12330.0
404,13422482,,2726.0,564.00,68300.0,250700.0,1337.306936
405,26529257,1507.0,2955.0,615.00,74900.0,314000.0,1343.442359
406,14538351,,8571.0,644.00,,,1344.41111
407,27163459,,12835.0,744.00,92900.0,350200.0,1250.0
408,12376490,,3397.0,638.00,192800.0,187600.0,13500.08338
409,12762042,,73879.0,3779.00,,,12546.0
410,24928993,,4681.0,924.00,342300.0,172600.0,12564.0
411,21569257,,9407.0,1748.00,394500.0,594200.0,13687.37524
412,28098337,,5252.0,838.00,,,13829.458719999999
413,17864484,1180.0,2702.0,656.00,75900.0,257700.0,1289.0
414,24685877,954.973208,2158.0,495.00,,,1397.692415
415,11447061,,3955.0,770.00,,,13000.0
416,28995517,,7856.0,1660.00,,,13080.0
417,21754446,,8033.0,1701.00,,,13150.0
418,19676453,,3000.0,607.00,,,13236.38
419,27585843,,21145.0,4755.00,,,13355.0
420,27944713,,3148.0,599.00,,,13361.0
421,26316539,,3405.0,724.00,,,13500.0
422,18660406,2908.0,6856.0,1333.00,,,13551.0
423,13691173,,5766.0,1136.00,,,13554.0
424,16990027,7259.0,15080.0,2954.00,,,13561.0
425,16169256,,9141.0,1787.00,,,13597.0
426,12779568,,3141.0,755.00,,,13685.0
427,9217681,3290.4,5834.0,1244.00,,,13712.54
428,9140272,2310.0,3334.0,749.00,,,13760.0
429,9853245,941.84,1950.0,382.00,,,13800.0
430,14889836,3400.0,8988.0,2550.00,,,13949.0
431,20891434,2090.0,5166.0,1229.00,,,1310.0
432,20979463,2090.0,5166.0,1229.00,,,1310.0
433,27613044,,3910.0,946.00,183300.0,354900.0,13155.0
434,9981015,1835.0,,,,,1440.20982
435,25989748,1686.0,4367.0,830.00,,,1340.0
436,11554396,,77478.0,4088.00,,,134372.0
437,18371032,,3574.0,771.00,,,1455.2792799999997
438,10450357,,4485.0,826.00,,,13613.0
439,28257266,,3168.0,483.00,,,13715.0
440,9263849,,3296.0,716.00,60100.0,355800.0,1487.5709799999997
441,16973489,,4507.0,1312.00,180300.0,552600.0,13866.0
442,12573694,,2163.0,415.00,,,1499.3036309999998
443,22195156,,,,,,14961.821
444,13344313,,3611.0,901.00,264800.0,263900.0,14999.494649999999
445,12149734,4345.0,6414.0,1331.00,407900.0,372700.0,13939.0
446,20911923,1254.0,3408.0,744.00,,,1395.0
447,17874994,,5820.0,1329.00,,,14070.58
448,25305768,,7772.0,1579.00,,,14135.0
449,21501828,,7686.0,1514.00,,,14154.54
450,15385535,3600.0,10091.0,2063.00,,,14375.0
451,15771723,,10789.0,2142.00,,,14400.0
452,13260768,1200.0,1570.0,327.00,70300.0,102200.0,14400.0
453,22323616,,2750.0,589.00,,,14438.0
454,19935937,1614.0,3196.0,662.00,,,14561.0
455,16233517,,2436.0,242.00,,,14874.65
456,11724669,,7780.0,1885.00,,,14914.0
457,18979714,,2592.0,711.00,,,14997.36
458,14392126,,2877.0,323.00,40000.0,313600.0,158.659886
459,27015351,1623.80750952,5192.0,1124.00,213700.0,436000.0,4842.514998719999
460,28515171,1600.0,4531.0,973.00,,,1400.0
461,14956902,,1.0,1.00,1.0,1.0,1400.0
462,9988856,2703.0,4822.0,979.00,,,14000.0
463,16004661,,,132.00,,,1408.0
464,25876610,,,,,,1522.01546
465,14561241,,42332.0,2067.00,,,15296.578289999998
466,25666799,1133.43,2200.0,540.00,,,1430.52
467,24052490,,6977.0,1384.00,374700.0,363400.0,14317.0
468,12041739,2221.0,5232.0,1116.00,,,1552.1543799999997
469,12183550,3000.0,4420.0,914.00,,,1443.0
470,28609885,3562.8509,8760.0,1635.00,,,15647.48143
471,11575946,979.0,0.0,0.00,729700.0,3699100.0,15707.759269999999
472,11370769,,5843.0,1300.00,,,14602.0
473,27341465,,3008.0,637.00,,,1464.0
474,11493363,924.62,1943.0,419.00,,,148368.66
475,9399554,,6713.0,1628.00,,,148640.0
476,18521127,1360.5569600000001,3921.0,806.00,,,1607.05027
477,11724669,,7780.0,1885.00,263300.0,826100.0,14914.0
478,14370936,2600.0,3485.0,982.00,,,14948.0
479,10347343,,508.0,107.00,,,15000.0
480,14815288,,3819.0,816.00,,,15000.0
481,19928548,2200.0,4547.0,1200.00,,,15000.0
482,15655888,,5163.0,1210.00,,,15000.0
483,9376888,,5487.0,1564.00,,,15000.0
484,25878438,,,,,,15000.0
485,18791081,2700.0,5528.0,1502.00,,,15049.0
486,13000346,,3308.0,910.00,,,15082.0
487,24273094,,7038.0,1417.00,,,15138.0
488,21005992,726.03,1970.0,424.00,,,15393.47
489,21932619,1950.42,2915.0,851.00,,,15405.31
490,9427698,2660.0,3592.0,1013.00,,,15416.0
491,28326848,2350.0,4656.0,1324.00,,,15480.0
492,21801213,,6445.0,1376.00,,,15489.0
493,19884836,,7430.0,1467.00,,,15543.0
494,23757568,,11500.0,635.00,,,15600.0
495,21560754,,3793.0,793.00,,,15629.0
496,27468937,,9449.0,2066.00,,,15661.0
497,10914726,,3543.0,999.00,,,15706.0
498,24135308,1800.0,3605.0,1017.00,279300.0,308600.0,15825.0
499,28895529,,23139.0,1162.00,,,15981.16
500,17953318,1105.9476694,3199.0,673.00,176500.0,193800.0,3999.3399616799998
501,11223155,1317.0,2488.0,558.00,,,150.0
502,26810802,,2850.0,600.00,71100.0,257200.0,1623.19612
503,16656858,,2500.0,513.00,,,1504.0
504,27070258,,2210.0,402.00,,,1512.0
505,24296836,,4071.0,1318.00,267000.0,484300.0,15127.0
506,28014961,2100.0,2600.0,571.00,112800.0,203400.0,1516.0
507,9651174,,3964.0,840.00,108800.0,381600.0,1638.2655799999998
508,21237755,,1786.0,351.00,56400.0,140000.0,1639.449609
509,28951219,0.01,1668.0,330.00,,,1641.4947499999998
510,15427668,,2411.0,496.00,,,1520.0
511,19271644,2930.0,4973.0,1074.00,,,1528.0
512,12340409,,2479.0,519.00,,,1649.9982309999998
513,25811785,,2950.0,417.00,270600.0,209800.0,15331.0
514,27591881,,24754.0,1812.00,,,16684.045
515,11929381,,6588.0,615.00,,,1680.24479
516,12941351,,6588.0,615.00,,,1680.24479
517,19083045,,3606.0,741.00,,,1681.32118
518,24490177,,2877.0,632.00,,,1569.0
519,19459844,,3196.0,702.00,,,1569.0
520,24738115,,2534.0,540.00,,,1699.61981
521,15766149,1517.7098999999998,2854.0,576.00,,,1699.61981
522,25157383,,3967.0,367.00,63600.0,142900.0,1710.38371
523,26214670,,1540.0,307.00,58800.0,113300.0,1710.38371
524,17601729,1000.0,1394.0,298.00,21500.0,145100.0,15855.0
525,17382209,1800.0,2515.0,487.00,,,159.3
526,22584470,1170.0,1993.0,415.00,59200.0,170200.0,1591.4
527,15011576,,3542.0,622.00,89300.0,332400.0,17157.6566
528,25049508,,5860.0,1210.00,,,1595.0
529,25170078,2790.0,4082.0,1140.00,,,16082.0
530,16461375,5756.0,10222.0,1655.00,354000.0,942000.0,173277.2622
531,11800302,,7340.0,1600.00,,,16163.0
532,25682984,,8242.0,1596.00,,,16312.0
533,24268617,1898.0,4675.0,1002.00,,,16511.0
534,23342108,,1206.0,301.00,,,16825.0
535,13844489,1194.7929,1.0,1.00,246700.0,755000.0,1724.3767799999998
